image,prediction,confidence,raw_score,expected,correct
sdxl_A_herd_of_wooly_sheep_graze_on_short_grass..jpg,Fake,0.9999,0.0001,fake,True
midjourney_Red_wrong_way_sign_in_front_of_a_church.jpg,Fake,0.9998,0.0002,fake,True
dalle_A_small_sink_inside_of_a_very_clean_and_white_bathroom._.jpg,Fake,0.9998,0.0002,fake,True
sd21_a_young_female_siting_on_a_bench_near_a_small_stagnant_lake.jpg,Fake,0.9998,0.0002,fake,True
sd3_Two_men_riding_mopeds,_one_with_a_woman_and_boy_riding_along..jpg,Fake,1.0000,0.0000,fake,True
dalle_A_bus_turning_a_corner_on_a_city_street..jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_orange_tabby_cat_laying_down_on_a_black_car.jpg,Fake,0.9998,0.0002,fake,True
sdxl_An_enclose_in_a_building_with_a_giraffe_in_the_background..jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_stop_top_oven_in_a_kitchen_next_to_a_couple_of_windows..jpg,Fake,0.9999,0.0001,fake,True
sd3_A_white__and_gray_water_fixture_sitting_on_top_of_cardboard..jpg,Fake,0.9990,0.0010,fake,True
sd21_The_view_of_a_room_with_several_different_utensils_displayed_on_shelves..jpg,Fake,0.9998,0.0002,fake,True
sd21_A_double_decker_bus_driving_down_a_street_past_a_tall_building..jpg,Fake,1.0000,0.0000,fake,True
sd3_The_view_of_a_room_with_several_different_utensils_displayed_on_shelves..jpg,Fake,0.9999,0.0001,fake,True
sd3_A_couple_riding_on_the_back_of_a_horse_drawn_carriage..jpg,Fake,0.9992,0.0008,fake,True
dalle_A_large_commercial_airplane_sitting_on_the_runway..jpg,Fake,1.0000,0.0000,fake,True
sd21_A_kitchen_is_shown_with_a_variety_of_items_on_the_counters..jpg,Fake,0.9985,0.0015,fake,True
sd21_A_couple_of_swans_swimming_in_a_pond_next_to_two_people..jpg,Fake,0.9985,0.0015,fake,True
sdxl_THERE_IS_AN_ADULT_CAT_THAT_IS_LYING_DOWN_IN_THE_SINK_.jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_kitchen_complete_with_a_microwave,_sink,_and_dishwasher..jpg,Fake,0.9991,0.0009,fake,True
sdxl_people_on_bicycles_ride_down_a_busy_street_.jpg,Fake,1.0000,0.0000,fake,True
sd3_An_ANA_blue_and_white_airplane_at_an_airport._.jpg,Fake,0.9930,0.0070,fake,True
dalle_A_cement_bench_near_a_railing_that_overlooks_a_large_body_of_calm_water..jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_colorful_checkered_motorcycle_parked_along_the_street..jpg,Fake,0.9996,0.0004,fake,True
dalle_A_table_that_has_a_cup_of_coffee_and_a_book_set_on_it..jpg,Fake,1.0000,0.0000,fake,True
midjourney_A_small_airplane_sitting_on_top_of_a_runway..jpg,Fake,1.0000,0.0000,fake,True
sdxl_a_bird_ready_to_take_off_an_edge_made_of_cement_.jpg,Fake,0.9994,0.0006,fake,True
sdxl_A_plane_that_is_flying_in_the_air..jpg,Fake,0.9999,0.0001,fake,True
dalle_A_bullet_train_is_going_through_a_tunnel..jpg,Fake,1.0000,0.0000,fake,True
midjourney_a_sign_on_a_beach_at_sun_set.jpg,Fake,1.0000,0.0000,fake,True
sd3_A_train_is_going_down_the_track_under_a_bridge..jpg,Fake,0.9723,0.0277,fake,True
sdxl_A_man_standing_next_to_a_train_going_through_grand_central_station.jpg,Fake,0.9546,0.0454,fake,True
sd3_A_railroad_train_heading_toward_a_traffic_light_on_the_tracks.jpg,Fake,0.8822,0.1178,fake,True
sdxl_A_traffic_light_with_a_building_in_the_background..jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_man_gets_a_French_kiss_from_a_giraffe_.jpg,Fake,1.0000,0.0000,fake,True
midjourney_A_blue_and_black_motorcycle_has_a_leather_seat..jpg,Fake,1.0000,0.0000,fake,True
sdxl_a_street_sign_on_a_road_near_a_building.jpg,Fake,0.9999,0.0001,fake,True
dalle_A_cook_slices_up_food_while_preparing_a_dish..jpg,Fake,0.9999,0.0001,fake,True
midjourney_there_is_a_small_bathroom_that_is_white_and_has_a_toilet.jpg,Fake,0.9366,0.0634,fake,True
sd3_There_is_a_multi_colored_train_pulling_into_a_station..jpg,Fake,0.9893,0.0107,fake,True
sd21_Car_parked_in_the_parking_lot_next_to_the_pier.jpg,Fake,0.9938,0.0062,fake,True
sd21_A_picture_of_large_glass_door_trimmed_in_white_and_a_large_beige_structure_beside_it..jpg,Fake,0.9905,0.0095,fake,True
midjourney_A_bathroom_is_photographed_with_a_fisheye_filter..jpg,Fake,0.8552,0.1448,fake,True
sd21_The_cat_is_peeking_out_from_inside_the_purse..jpg,Fake,0.9973,0.0027,fake,True
sd21_There_is_a_multi_colored_train_pulling_into_a_station..jpg,Fake,0.9999,0.0001,fake,True
sdxl_A_city_street_filled_with_traffic_and_traffic_lights..jpg,Fake,1.0000,0.0000,fake,True
dalle_A_couple_of_zebra_walking_next_to_a_giraffe_on_a_lush_green_field..jpg,Fake,1.0000,0.0000,fake,True
sd21_A_wooden_bench_with_snow_in_a__forest..jpg,Fake,0.9998,0.0002,fake,True
sdxl_A_man_in_a_red_shirt_standing_next_to_an_airplane..jpg,Fake,1.0000,0.0000,fake,True
sd3_A_bathroom_sink_shapped_like_a_glass_bowl..jpg,Fake,0.9522,0.0478,fake,True
sd3_Giraffe_standing_on_a_grass_covered_field_next_to_a_hill..jpg,Fake,0.9952,0.0048,fake,True
sd3_A_horned_ram_and_a_sheep_grazing_in_a_fenced_field..jpg,Real,0.5899,0.5899,fake,False
sd21_A_white_dresser_with_an_attached_mirror_in_a_room_with_yellow_walls..jpg,Fake,0.9970,0.0030,fake,True
sd3_A_cook_slices_up_food_while_preparing_a_dish..jpg,Fake,0.9999,0.0001,fake,True
sd21_A_gang_of_bikers_riding_down_a_street_next_to_tall_buildings..jpg,Fake,1.0000,0.0000,fake,True
sd3_An_image_looking_down_in_to_a_toilet..jpg,Fake,0.9998,0.0002,fake,True
sd21_AA_tennis_player_sitting_down_drying_himself_off.jpg,Fake,0.9956,0.0044,fake,True
midjourney_A_large_commercial_airplane_sitting_on_the_runway..jpg,Fake,0.9979,0.0021,fake,True
sdxl_A_long_yellow_bus_advertising_a_musical_play.jpg,Fake,0.9996,0.0004,fake,True
dalle_A_white_bus_traveling_down_a_road_next_to_a_car..jpg,Fake,1.0000,0.0000,fake,True
sd21_People_are_waiting_for_the_bus_near_a_bus_stop..jpg,Fake,0.9997,0.0003,fake,True
sdxl_A_man_riding_on_the_back_of_a_dirt_bike_in_the_air..jpg,Fake,0.9999,0.0001,fake,True
midjourney_A_group_of_giraffes_and_a_couple_of_deer_stand_in_the_dust..jpg,Fake,1.0000,0.0000,fake,True
sd3_The_man_is_holding_two_knives_in_his_hands..jpg,Fake,0.9940,0.0060,fake,True
dalle_The_bathroom_has_wood_trim_and_white_furniture..jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_public_restroom_in_a_state_of_disrepair..jpg,Fake,0.9995,0.0005,fake,True
sd21_A_red_bus_going_down_a_busy_city_road..jpg,Fake,1.0000,0.0000,fake,True
sd21_A_bar_is_shown_with_a_tv_and_decorations..jpg,Fake,0.9999,0.0001,fake,True
midjourney_A_passenger_jetliner_sitting_on_top_of_a_tarmac_at_an_airport..jpg,Fake,0.9997,0.0003,fake,True
sd3_A_trash_can_is_sitting_next_to_a_lowered_curb..jpg,Fake,1.0000,0.0000,fake,True
sd21_a_lady_and_man_standing_next_to_a_fire_hyrdgen.jpg,Fake,0.9925,0.0075,fake,True
sd3_A_boy_covering_his_face_as_a_fire_hydrant_blows_water_at_him..jpg,Fake,0.9997,0.0003,fake,True
midjourney_A_giraffe_sticking_it's_head_in_a_van..jpg,Fake,1.0000,0.0000,fake,True
sd21_A_car_parked_next_to_a_bench_along_a_city_street..jpg,Fake,0.9999,0.0001,fake,True
sdxl_A_green_train_traveling_through_a_forest_with_trees..jpg,Fake,1.0000,0.0000,fake,True
sd3_A_propeller_plane_flying_through_a_gray_sky..jpg,Real,0.8847,0.8847,fake,False
sd3_A_white_and_yellow_train_traveling_through_a_rural_country_side..jpg,Fake,0.9198,0.0802,fake,True
sd3_Cliffs_rise_on_the_edge_of_a_placid_lake..jpg,Fake,0.9995,0.0005,fake,True
midjourney_Two_large_commercial_airplanes_sitting_on_the_runway..jpg,Fake,0.9998,0.0002,fake,True
midjourney_The_pair_of_shoes_is_on_the_bathroom_floor_near_the_cabinet._.jpg,Fake,0.9965,0.0035,fake,True
sd3_A_small_white_airplane_high_up_in_the_sky..jpg,Fake,0.9960,0.0040,fake,True
dalle_A_glass_vase_filled_with_oranges_on_a_table_next_to_a_plate_filled_with_even_more_oranges..jpg,Fake,1.0000,0.0000,fake,True
dalle_Two_people_are_looking_at_a_truck_while_a_dog_is_being_walked..jpg,Fake,1.0000,0.0000,fake,True
sdxl_A_pirstine_white_and_black_bathroom_with_a_tub_by_a_window.jpg,Fake,0.9918,0.0082,fake,True
sdxl_A_street_containing_various_cars_and_lampposts_at_night..jpg,Fake,1.0000,0.0000,fake,True
sd3_A_giraffe_is_bending_towards_two_of_its_trainers.jpg,Fake,0.9969,0.0031,fake,True
sd21_A_tourist_looks_at_sheep_grazing_in_a_yard.jpg,Fake,0.9968,0.0032,fake,True
sd3_A_man_wearing_a_straw_hat_and_playing_the_guitar..jpg,Fake,0.9999,0.0001,fake,True
midjourney_The_would_is_dressed_up_wearing_a_hat_and_tie._.jpg,Fake,1.0000,0.0000,fake,True
sdxl_It's_wondrous_how_that_big_airplane_manages_to_stay_up_in_the_sky..jpg,Fake,0.9999,0.0001,fake,True
midjourney_A_picture_of_large_glass_door_trimmed_in_white_and_a_large_beige_structure_beside_it..jpg,Fake,1.0000,0.0000,fake,True
dalle_a_fire_hydrant_in_a_field_with_trees_in_the_background.jpg,Fake,1.0000,0.0000,fake,True
sd21_A_large_clock_tower_with_a_clock_on_it's_face..jpg,Fake,0.9914,0.0086,fake,True
sd21_A_row_of_wooden_cages_with_white_sheets_over_them..jpg,Fake,0.9993,0.0007,fake,True
midjourney_A_man_is_taking_a_picture_of_his_bathroom_sink..jpg,Fake,1.0000,0.0000,fake,True
sdxl_Several_vehicles_turning_the_corner_on_a_busy_intersection..jpg,Fake,1.0000,0.0000,fake,True
sdxl_a_man_sitting_on_a_bench_talking_on_his_cell_phone.jpg,Fake,0.9953,0.0047,fake,True
midjourney_A_motorcycle_parked_on_a_lush_green_field..jpg,Fake,0.9999,0.0001,fake,True
dalle_A_group_of_men_riding_motorcycles_in_street_with_American_flags..jpg,Fake,1.0000,0.0000,fake,True
sd3_A_train_traveling_down_train_tracks_past_some_houses..jpg,Fake,0.9945,0.0055,fake,True
sdxl_A_restaurant_kitchen_with_two_giant_menus_sitting_above_the_cooking_area..jpg,Fake,1.0000,0.0000,fake,True
midjourney_A_narrow_kitchen_with_a_white_stove_top_oven..jpg,Fake,1.0000,0.0000,fake,True
sd3_A_gray_and_yellow_train_traveling_along_the_tracks.jpg,Fake,0.9926,0.0074,fake,True
dalle_A_street_with_market_door_openings_is_empty..jpg,Fake,1.0000,0.0000,fake,True
midjourney_A_silver_train_traveling_past_a_train_stations..jpg,Fake,0.9922,0.0078,fake,True
sdxl_A_white_tiled_bathroom_with_black_counter_top..jpg,Fake,0.9999,0.0001,fake,True
