image,prediction,confidence,raw_score,expected,correct
coco_A_herd_of_animals_in_the_middle_of_a_grassy_field..jpg,Real,0.9602,0.9602,real,True
coco_A_beach_filled_with_people_flying_colorful_kites.jpg,Real,0.9103,0.9103,real,True
coco_Several_motorcycles_lined_up_in_a_row_in_front_of_a_old_building..jpg,Real,0.9764,0.9764,real,True
coco_A_car_and_a_motorcycle_viewed_from_through_a_windshield..jpg,Real,0.9999,0.9999,real,True
coco_A_man_is_taking_a_picture_of_his_bathroom_sink..jpg,Real,0.9999,0.9999,real,True
coco_The_would_is_dressed_up_wearing_a_hat_and_tie._.jpg,Real,0.8541,0.8541,real,True
coco_A_group_of_giraffe_standing_next_to_each_other_in_a_field..jpg,Real,0.9330,0.9330,real,True
coco_You_can_see_a_blue_towel_hanging_in_the_mirror..jpg,Real,0.9858,0.9858,real,True
coco_a_motorcycle_and_a_three_wheeler_both_coming_same_direction_on_both_sides_of_street.jpg,Real,0.9993,0.9993,real,True
coco_A_tall_church_sitting_next_to_a_lush_green_field..jpg,Real,0.7879,0.7879,real,True
coco_Small_white_toilet_sitting_next_to_a_small_white_sink._.jpg,Real,0.9995,0.9995,real,True
coco_A_blue_bird_is_sitting_on_a_wooden_post..jpg,Real,0.9991,0.9991,real,True
coco_A_steel_toilet_near_a_window_in_a_very_small_bathroom..jpg,Real,0.9958,0.9958,real,True
coco_A_silver_train_traveling_past_a_train_stations..jpg,Real,0.9949,0.9949,real,True
coco_A_giraffe_walking_through_dead_bushes_and_grass..jpg,Real,0.9783,0.9783,real,True
coco_A_full_view_of_a_shower_with_glass..jpg,Real,0.9997,0.9997,real,True
coco_People_sitting_under_an_umbrella_looking_at_the_scenery..jpg,Real,1.0000,1.0000,real,True
coco_A_person_with_a_mask_and_other_cover_with_umbrellas_.jpg,Real,1.0000,1.0000,real,True
coco_A_man_is_cooking_in_a_crowded_kitchen..jpg,Real,0.9940,0.9940,real,True
coco_a_giraffe_walking_through_trees_on_a_sunny_day.jpg,Real,0.9973,0.9973,real,True
coco_A_big_red_bus_parked_on_the_street_near_a_city.jpg,Real,0.9762,0.9762,real,True
coco_A_person_that_is_driving_on_the_street..jpg,Fake,0.5770,0.4230,real,False
